2026-02-21 23:34:29,597 | INFO | Process started
2026-02-21 23:34:29,598 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-21 23:34:33,764 | INFO | Downloaded to: dataset\archives\archive
2026-02-21 23:34:33,772 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-21 23:34:33,776 | INFO | Archive type: zip
2026-02-21 23:34:33,830 | INFO | Extraction finished
2026-02-21 23:34:33,830 | INFO | Cleanup: removed 0 files
2026-02-21 23:34:33,831 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-21 23:34:33,831 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-21 23:34:33,831 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-21 23:34:34,175 | INFO | DB cleared
2026-02-21 23:34:34,321 | INFO | Process completed
2026-02-21 23:42:44,806 | INFO | Process started
2026-02-21 23:42:44,806 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-21 23:42:49,659 | INFO | Downloaded to: dataset\archives\archive
2026-02-21 23:42:49,667 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-21 23:42:49,671 | INFO | Archive type: zip
2026-02-21 23:42:49,723 | INFO | Extraction finished
2026-02-21 23:42:49,724 | INFO | Cleanup: removed 0 files
2026-02-21 23:42:49,724 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-21 23:42:49,725 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-21 23:42:49,725 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-21 23:42:50,051 | INFO | DB cleared
2026-02-21 23:42:50,189 | INFO | Process completed
2026-02-22 00:16:58,188 | INFO | Process started
2026-02-22 00:16:58,189 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 00:17:06,441 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 00:17:06,451 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 00:17:06,457 | INFO | Archive type: zip
2026-02-22 00:17:06,526 | INFO | Extraction finished
2026-02-22 00:17:06,527 | INFO | Cleanup: removed 0 files
2026-02-22 00:17:06,528 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 00:17:06,528 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 00:17:06,528 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 00:17:06,941 | INFO | DB cleared
2026-02-22 00:17:07,136 | INFO | Process completed
2026-02-22 00:20:21,182 | INFO | Process started
2026-02-22 00:20:21,183 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 00:20:30,008 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 00:20:30,018 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 00:20:30,024 | INFO | Archive type: zip
2026-02-22 00:20:30,105 | INFO | Extraction finished
2026-02-22 00:20:30,106 | INFO | Cleanup: removed 0 files
2026-02-22 00:20:30,107 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 00:20:30,107 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 00:20:30,107 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 00:20:30,544 | INFO | DB cleared
2026-02-22 00:20:30,747 | INFO | Process completed
2026-02-22 00:30:28,920 | INFO | Process started
2026-02-22 00:30:28,920 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 00:30:35,744 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 00:30:35,754 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 00:30:35,759 | INFO | Archive type: zip
2026-02-22 00:30:35,828 | INFO | Extraction finished
2026-02-22 00:30:35,830 | INFO | Cleanup: removed 0 files
2026-02-22 00:30:35,830 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 00:30:35,830 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 00:30:35,830 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 00:30:36,263 | INFO | DB cleared
2026-02-22 00:30:36,497 | INFO | Process completed
2026-02-22 00:31:48,520 | INFO | Process started
2026-02-22 00:31:48,520 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 00:31:56,294 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 00:31:56,303 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 00:31:56,309 | INFO | Archive type: zip
2026-02-22 00:31:56,382 | INFO | Extraction finished
2026-02-22 00:31:56,383 | INFO | Cleanup: removed 0 files
2026-02-22 00:31:56,384 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 00:31:56,384 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 00:31:56,385 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 00:31:56,812 | INFO | DB cleared
2026-02-22 00:31:57,016 | INFO | Process completed
2026-02-22 00:35:48,447 | INFO | Process started
2026-02-22 00:35:48,447 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 00:35:54,598 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 00:35:54,608 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 00:35:54,614 | INFO | Archive type: zip
2026-02-22 00:35:54,687 | INFO | Extraction finished
2026-02-22 00:35:54,688 | INFO | Cleanup: removed 0 files
2026-02-22 00:35:54,689 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 00:35:54,689 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 00:35:54,690 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 00:35:55,126 | INFO | DB cleared
2026-02-22 00:35:55,346 | INFO | Process completed
2026-02-22 01:10:12,863 | INFO | Process started
2026-02-22 01:10:12,864 | INFO | Downloading: https://drive.google.com/file/d/1MYk9WK_0K_out54YaNUl41p2nzL24Ta8/view
2026-02-22 01:10:20,236 | INFO | Downloaded to: dataset\archives\archive
2026-02-22 01:10:20,246 | INFO | SHA256: 65b4f0fc5a0f0e102f5cfa20911e175499c776c5089a1c3fcc06c6487e268fe0
2026-02-22 01:10:20,251 | INFO | Archive type: zip
2026-02-22 01:10:20,322 | INFO | Extraction finished
2026-02-22 01:10:20,323 | INFO | Cleanup: removed 0 files
2026-02-22 01:10:20,324 | INFO | Found tickets: dataset\extracted\tickets.csv
2026-02-22 01:10:20,324 | INFO | Found managers: dataset\extracted\managers.csv
2026-02-22 01:10:20,324 | INFO | Found units: dataset\extracted\business_units.csv
2026-02-22 01:10:20,743 | INFO | DB cleared
2026-02-22 01:10:20,938 | INFO | Process completed
